ID,品牌,名称,机油容量,排量,发动机型号
528af3a1098e71805900036e,丰田(一汽) ,丰田(一汽) 卡罗拉 2.0L 09/10 -> 12/11,4,,3ZR-FE
528af3a1098e718059000389,丰田(一汽) ,丰田(一汽) 皇冠 2.5L 02/05 -> 11/09,6,,5GR-FE
52a89b9e098e71b2e5000a70,吉利汽车,吉利汽车 豪情 SRV1.3L 2002-2005,4,,MR479Q 
528af3ca098e718059001522,奥迪 (进口),奥迪(进口) A5 1.8 TFSI (8T) 10/07 -> ,0,,CABD
528af3ca098e71805900152a,奥迪 (进口),奥迪(进口) A5 2.0 TDI (8T) 08/08 -> ,0,,CAHA
528af3ca098e718059001552,奥迪 (进口),奥迪(进口) A5 3.2 FSI (8T) 06/07 -> ,0,,CALA
528af3ce098e7180590016df,奥迪 (进口),奥迪(进口) A8 2.8  FSI 08/07 -> ,4,,BDX
528af3ce098e7180590016e9,奥迪 (进口),奥迪(进口) A8 3.0 TDI 08/03 -> ,4,,
52a89b13098e71b2e5000170,一汽奥迪,一汽奥迪 奥迪A4L(B8) 11款 3.2 FSI quattro 2011-,4,,CAL
528af3ec098e718059002481,日产(东风) ,日产(东风) 骐达 1.6T 05/11 -> ,4,,MR16DDT
528af411098e71805900342f,比亚迪,比亚迪 F3 1.5L 11/09 -> ,4,,473QE
528af423098e718059003c0a,福特(长安) ,福特(长安) 嘉年华 1.5L 02/09 -> ,4,,ZY
528af41f098e718059003a28,现代(北京) ,现代(北京) 索纳塔 2.0L 04/11 -> ,4,,G4KD
528af41f098e718059003a2c,现代(北京) ,现代(北京) 索纳塔 2.4L 04/11 -> ,5,,G4KE
52945603098e7144f90026e0,荣威(上汽) ,荣威(上汽) 950 2.0L 04/12->,4,, 
52a89add098e71b2e5000003,上海大众汽车,上海大众汽车 帕萨特B5  1.8L 2001.04-2006.06,4,,ANQ
52a89ade098e71b2e5000007,上海大众汽车,上海大众汽车 帕萨特B5  1.8T 2001.04-2006.06,4,,AWL,BGC
52a89ade098e71b2e500000b,上海大众汽车,上海大众汽车 帕萨特B5  2.0L 2003.04-2006.06,4,,BFF BNF
52a89adf098e71b2e500000c,上海大众汽车,上海大众汽车 帕萨特B5  2.8V6 2003.04-2006.06,4,,BBG
52a89adf098e71b2e500000e,上海大众汽车,上海大众汽车 帕萨特领驭  1.8T 2005.04-2009.03,4,,BGC,CED
52a89adf098e71b2e500000f,上海大众汽车,上海大众汽车 帕萨特领驭  2.0L 2006.04-2009.03,4,,BNL
52a89ae0098e71b2e5000010,上海大众汽车,上海大众汽车 帕萨特领驭  2.8V6 2005.04-2009.03,4,,BBG
52a89ae0098e71b2e5000011,上海大众汽车,上海大众汽车 帕萨特领驭 09款新 1.8T 2009.04-,4,,CED,CEDA
52a89ae1098e71b2e5000012,上海大众汽车,上海大众汽车 帕萨特领驭 09款新 2.0L 2009.04-,4,,BNL
52a89ae1098e71b2e5000013,上海大众汽车,上海大众汽车 帕萨特领驭 09款新 2.8V6 2009.04-,4,,BBG
52a89ae2098e71b2e5000014,上海大众汽车,上海大众汽车 帕萨特领驭 10款新 1.8T 2009.04-,4,,CED,CEDA
52a89ae2098e71b2e5000016,上海大众汽车,上海大众汽车 帕萨特领驭 10款新 2.0L 2009.04-,4,,BNL
52a89ae2098e71b2e5000017,上海大众汽车,上海大众汽车 帕萨特领驭 10款新 2.8V6 2009.04-,4,,BBG
52a89ae3098e71b2e5000019,上海大众汽车,上海大众汽车 新帕萨特 11款1.4TSI 2011.09-,4,,CFB,EA111
