ID,品牌,类型,型号,售价(元),京东价(元),峻峰华亭进价(元)
5246c7d6098e7109280001ac,曼牌 Mann,机滤,W 712/55,0.0,35.0,0.0
5246c7d0098e7109280001a6,曼牌 Mann,机滤,W 610/4,0.0,29.0,0.0
5246c934098e71092800025e,曼牌 Mann,机滤,W 67/2,0.0,18.0,0.0
52945536098e7144f900024b,曼牌 Mann,机滤,HU 7009 z,0.0,0.0,0.0
52a89b7e098e71b2e500081f,曼牌 Mann,机滤,HU7401x,0.0,0.0,0.0
528af3ae098e7180590009c7,曼牌 Mann,机滤,W 68/1,0.0,27.0,0.0
5246c7b0098e710928000187,曼牌 Mann,机滤,W 7012,0.0,30.0,0.0
5246c8eb098e710928000245,曼牌 Mann,机滤,W 719/14,0.0,0.0,0.0
5246c773098e71092800013f,曼牌 Mann,机滤,W 719/45,0.0,89.0,0.0
5246c8f1098e710928000249,曼牌 Mann,机滤,W 610/9,0.0,75.0,0.0
5246c923098e710928000257,曼牌 Mann,机滤,HU 711/2 x,0.0,66.0,0.0
5246c7a3098e710928000173,曼牌 Mann,机滤,W 719/27,0.0,53.0,0.0
5246c7ee098e7109280001d7,曼牌 Mann,机滤,HU 612/1 x,0.0,89.0,0.0
5246c796098e710928000162,曼牌 Mann,机滤,HU 719/7 x,0.0,49.0,0.0
5246c775098e710928000142,曼牌 Mann,机滤,HU 722 z,0.0,95.0,0.0
5246c868098e71092800021b,曼牌 Mann,机滤,W 712/73,0.0,58.0,0.0
528af3c5098e718059001319,曼牌 Mann,机滤,W 711/80,0.0,30.0,0.0
528af421098e718059003aeb,曼牌 Mann,机滤,W 920/45,0.0,86.0,0.0
5246c773098e71092800013b,曼牌 Mann,机滤,HU 711/51 x,0.0,46.0,0.0
5246c79d098e71092800016d,曼牌 Mann,机滤,HU 831 x,0.0,0.0,0.0
5246c7d9098e7109280001b6,曼牌 Mann,机滤,HU 938/4 x,0.0,90.0,0.0
5246c7ce098e7109280001a4,曼牌 Mann,机滤,W 716/1,0.0,78.0,0.0
5246c787098e710928000153,曼牌 Mann,机滤,W 67/1,0.0,28.0,0.0
5246c7e2098e7109280001c4,曼牌 Mann,机滤,W 610/3,0.0,24.0,0.0
5246c7b8098e710928000190,曼牌 Mann,机滤,HU 815/2 x,89.0,89.0,40.0
5246c7a3098e710928000172,曼牌 Mann,机滤,W 712/8,0.0,39.0,0.0
528af41d098e718059003934,曼牌 Mann,机滤,W 930/26,0.0,0.0,0.0
5246c7ac098e710928000182,曼牌 Mann,机滤,W 811/80,0.0,28.0,0.0
528af3aa098e71805900079b,曼牌 Mann,机滤,HU 612/2 x,0.0,48.0,0.0
5298b9bc098e716daf001b24,曼牌 Mann,机滤,HU69/2X,0.0,95.0,0.0
528af399098e71805900000d,曼牌 Mann,机滤,W 713/16,0.0,0.0,0.0
528af399098e718059000026,曼牌 Mann,机滤,W 818/82,0.0,0.0,0.0
5246c787098e710928000155,曼牌 Mann,机滤,W 719/30,0.0,37.0,0.0
528af3aa098e71805900078e,曼牌 Mann,机滤,W 712/22,0.0,27.0,0.0
5246c7e3098e7109280001c6,曼牌 Mann,机滤,W 610/6,0.0,70.0,0.0
5246c89b098e710928000223,曼牌 Mann,机滤,W 719/5,0.0,32.0,0.0
5246c787098e710928000156,曼牌 Mann,机滤,W 940/25,0.0,58.0,0.0
5246c785098e71092800014f,曼牌 Mann,机滤,W 930/21,0.0,65.0,39.0
5246c8f5098e71092800024c,曼牌 Mann,机滤,W 68/3,0.0,63.0,0.0
5246c779098e710928000144,曼牌 Mann,机滤,HU 719/6 x,0.0,89.0,0.0
5246c79b098e710928000169,曼牌 Mann,机滤,HU 7005 x,0.0,414.0,0.0
528af3a5098e718059000550,曼牌 Mann,机滤,HU 9001 x,0.0,240.0,0.0
5246c7a6098e71092800017b,曼牌 Mann,机滤,HU 932/6 n,0.0,168.0,0.0
5246c8d0098e710928000232,曼牌 Mann,机滤,HU 726/2 x,0.0,69.0,0.0
5246c7e0098e7109280001c0,曼牌 Mann,机滤,HU 6007 x,0.0,95.0,0.0
