ID,品牌,类型,型号,售价(元),京东价(元),峻峰华亭进价(元)
5282202f7ef560db540000fb,马勒 Mahle,机滤,OC611,29.0,25.0,13.0
5298b984098e716daf000da3,马勒 Mahle,机滤,OX 412D ECO,0.0,29.0,16.0
5282237a7ef560db5400012b,马勒 Mahle,机滤,OC608,29.0,27.0,15.0
52821f5c7ef560db540000f5,马勒 Mahle,机滤,OX794DECO,39.0,0.0,17.0
5298b975098e716daf00099d,马勒 Mahle,机滤,OC610,0.0,28.0,0.0
528223f97ef560db54000134,马勒 Mahle,机滤,OC1022,49.0,59.0,30.0
5282246b7ef560db5400013d,马勒 Mahle,机滤,OX405D,29.0,29.0,15.0
5298b982098e716daf000d41,马勒 Mahle,机滤,OX 565D,0.0,69.0,0.0
5298b975098e716daf000993,马勒 Mahle,机滤,OC576,0.0,28.0,0.0
5298b985098e716daf000dd3,马勒 Mahle,机滤,OC 579,0.0,17.0,10.0
528efa817ef560e6df000048,马勒 Mahle,机滤,OX 166/1D,0.0,75.0,0.0
5298b983098e716daf000d79,马勒 Mahle,机滤,OC 577,0.0,28.0,13.0
5298b985098e716daf000dbf,马勒 Mahle,机滤,OC 980,0.0,26.0,9.0
5298b983098e716daf000d69,马勒 Mahle,机滤,OX795D ECO,0.0,38.0,17.0
5298b985098e716daf000dd7,马勒 Mahle,机滤,OC 597,0.0,25.0,13.0
5298b975098e716daf00098d,马勒 Mahle,机滤,OC523,0.0,19.0,0.0
5298b984098e716daf000d9d,马勒 Mahle,机滤,OX 772D ECO,0.0,39.0,14.0
5298b983098e716daf000d61,马勒 Mahle,机滤,OC 730,0.0,28.0,0.0
5298b984098e716daf000db7,马勒 Mahle,机滤,OC 586,0.0,30.0,0.0
5279b91d7ef5606edb000025,马勒 Mahle,机滤,OC555,26.0,27.0,15.0
52821e797ef560db540000e6,马勒 Mahle,机滤,OC497,26.0,25.0,15.0
5298b983098e716daf000d7d,马勒 Mahle,机滤,OC 595,0.0,19.0,11.0
528f623b7ef560b041001b5b,马勒 Mahle,机滤,OX 350/4D,0.0,120.0,0.0
528f61ce7ef560b041001b27,马勒 Mahle,机滤,OX 196/3D,0.0,0.0,0.0
5298b975098e716daf0009a3,马勒 Mahle,机滤,OC894,0.0,29.0,0.0
5298b983098e716daf000d4d,马勒 Mahle,机滤,OC 527,0.0,59.0,20.0
528f6c407ef560b0410024b7,马勒 Mahle,机滤,OC 485,0.0,49.0,19.0
5298b982098e716daf000d3d,马勒 Mahle,机滤,OX 690D ECO,0.0,59.0,0.0
5298b993098e716daf001159,马勒 Mahle,机滤,OC 515,0.0,33.0,0.0
528ecded7ef5609b9f000075,马勒 Mahle,机滤,OX 160D,0.0,0.0,0.0
5298b983098e716daf000d55,马勒 Mahle,机滤,OX 396D ECO,0.0,39.0,0.0
528ef6177ef5609b9f00070a,马勒 Mahle,机滤,OX 143D,0.0,39.0,0.0
5298b984098e716daf000d8d,马勒 Mahle,机滤,FOX822D ECO,0.0,0.0,0.0
5298b975098e716daf000983,马勒 Mahle,机滤,oc488,0.0,19.0,0.0
5298b975098e716daf0009ab,马勒 Mahle,机滤,OX398DECO,0.0,38.0,0.0
5298b984098e716daf000daf,马勒 Mahle,机滤,OX 397D ECO,0.0,39.0,18.0
5298b975098e716daf000987,马勒 Mahle,机滤,OC489,0.0,29.0,0.0
5298b984098e716daf000db3,马勒 Mahle,机滤,OC 578,0.0,38.0,20.0
528f6d347ef560b04100258d,马勒 Mahle,机滤,OC 593/4,0.0,49.0,30.0
5298b98b098e716daf000f83,马勒 Mahle,空气滤清器,LX 1898,0.0,56.0,22.0
5298b999098e716daf0012cd,马勒 Mahle,空气滤清器,LX 2070,0.0,39.0,0.0
5298b98d098e716daf000ff9,马勒 Mahle,空气滤清器,LX 1979,0.0,46.0,18.0
